"<h4>Condition Examples</h4>
<ol>
<li>Applying tax if employee born between 31-12-1937 and 01-01-1958 (Employees aged 60 to 80)<br>
<code>Condition: date_of_birth&gt;date(1937, 12, 31) and date_of_birth&lt;date(1958, 01, 01)</code></li><br><li>Applying tax by employee gender<br>
<code>Condition: gender==""Male""</code></li><br>
<li>Applying tax by Salary Component<br>
<code>Condition: base &gt; 10000</code></li></ol>","<h4>条件示例</h4>
<ol>
<li>如果员工出生在 1937 年 12 月 31 日至 1958 年 1 月 1 日之间（员工年龄在 60 岁至 80 岁之间），则需纳税<br>
<code>条件：date_of_birth&gt;date(1937, 12, 31) and date_of_birth&lt;date(1958, 01, 01)</code></li><br><li>按员工性别算税<br>
<code>条件：gender==""男""</code></li><br>
<li>按工资组成算税<br>
<code>条件：base &gt; 10000</code></li></ol>",
<h5>Employees on Half Day</h5>,<h5>半日制员工</h5>,
<h5>Unmarked Employees</h5>,<h5>未标记员工</h5>,
<hr>,<hr>,
<table class='table table-bordered'><tr><th>{0}</th><th>{1}</th></tr>,<table class='table table-bordered'><tr><th>{0}</th><th>{1}</th></tr>,
A Job Requisition for {0} requested by {1} already exists: {2},由{1}申请的{0}职位申请已存在：{2},
A friendly reminder of an important date for our team.,关于团队重要日期的温馨提示,
A {0} exists between {1} and {2} (,在{1}至{2}期间存在{0}（,
Abbr,简称,
About,关于,
Absent,缺勤,
Absent Days,缺勤天数,
Absent Records,缺勤记录,
Academics User,培训教管,
Accepted,已接受,
Account,科目,
Account Head,科目,
Account No,账号,
Account Not Found,未找到账户,
"Account type should be set {0} for payroll payable account {1}, please set and try again",工资应付账户{1}的账户类型应设置为{0}，请设置后重试,
Account {0} does not belong to company: {1},科目{0}不属于公司：{1},
Account {0} does not match with Company {1},账户{0}与公司{1}不匹配,
Accounting,会计,
Accounting & Payment,会计与支付,
Accounting Details,会计信息,
Accounting Dimensions,辅助核算,
Accounting Ledger,会计分类账,
Accounts,财务,
Accounts not set for Salary Component {0},薪资组件{0}未设置账户,
Accrual,计提,
Accrual Arrears,计提欠薪,
Accrual Component,计提组件,
Accrual Component can only be set for Earning Salary Components.,计提组件仅可为收入类工资组件设置,
Accrual Component can only be set for Flexible Benefit Salary Components with accrual payout methods.,计提组件仅可为采用计提支付方式的弹性福利工资组件设置,
Accrual Component must be set for Flexible Benefit Salary Components with accrual payout methods.,采用计提支付方式的弹性福利工资组件必须设置计提组件,
Accrual Journal Entry for salaries from {0} to {1},{0}至{1}期间工资的应计日记账分录,
Accrue and payout at end of payroll period,在薪资期末计提并支付,
"Accrue per cycle, pay only on claim",按周期计提，仅报销时支付,
Accrued Benefits,计提福利,
Accrued Earnings Report,计提收入报告,
Accrued amount {0} is less than paid amount {1} for Benefit {2} in payroll period {3},在薪资期间{3}中，福利{2}的计提金额{0}小于已付金额{1},
Action,操作,
Action on Submission,提交时动作,
Actions,操作,
Active,在职,
Activities,活动,
Activity Name,活动名称,
Actual Cost,实际成本,
Actual Encashable Days,实际可兑换天数,
Actual balances aren't available because the leave application spans over different leave allocations. You can still apply for leaves which would be compensated during the next allocation.,由于请假申请跨越不同假期分配，当前无法显示实际余额。您仍可申请假期，差额将在下次分配时补足。,
Add Day-wise Dates,添加逐日日期,
Add Employee Property,添加员工属性,
Add Feedback,添加反馈,
Add to Details,添加至明细,
Add unused leaves from previous allocations,添加上次未使用假期,
Add unused leaves from previous leave period's allocation to this allocation,将上一假期周期未使用的假期添加至本次分配,
Added On,反馈日期,
Added tax components from the Salary Component master as the salary structure didn't have any tax component.,薪资结构未配置税费组件，已自动从主薪资组件中添加税费项,
Added to details,已添加至明细,
Additional Amount,附加金额,
Additional Information ,补充信息,
Additional Salary,附加薪资,
Additional Salary ,附加薪资,
Additional Salary for referral bonus can only be created against Employee Referral with status {0},推荐奖金类附加薪资只能针对状态为{0}的员工推荐创建,
Additional Salary for this salary component with {0} enabled already exists for this date,该薪资组件已存在启用{0}的附加薪资,
Additional Salary: {0} already exist for Salary Component: {1} for period {2} and {3},薪资组件{1}在期间{2}至{3}已存在附加薪资{0},
Address of Organizer,组织者地址,
Adjust Allocation,调整分配,
Adjustment Created Successfully,调整项创建成功,
Adjustment Type,调整类型,
Administrator,管理员,
Advance,预支,
Advance Account,预付科目,
Advance Account Required,预支科目必填,
Advance Account is mandatory. Please set the {0} in the Company {1} and submit this document.,预支科目为必填项。请在公司 {1} 中设置 {0} 并提交此文档。,
Advance Account {} currency should be same as Salary Currency of Employee {}. Please select same currency Advance Account,预支科目 {} 的币种应与员工 {} 的工资币种相同。请选择相同币种的预支科目,
Advance Amount,预支金额,
Advance Paid,预付款,
Advance Paid (Company Currency),已付预付款（公司本位币）,
Advance Payments,预付款,
Advanced Filters,高级筛选,
Advances,预付,
All,全部,
All Exchange Gain/Loss amount of {0} has been booked through {1},所有 {0} 的汇兑损益金额已通过 {1} 入账,
All Goals,所有目标,
All Jobs,所有职位,
All allocated assets should be returned before submission,提交前需归还所有已分配资产,
All the mandatory tasks for employee creation are not completed yet.,员工建档的必填任务尚未全部完成,
Allocate,分配,
Allocate Based On Leave Policy,按假期政策分配,
Allocate Leave,分配假期,
Allocate leaves to {0} employee(s)?,是否为{0}名员工分配假期？,
Allocate on Day,按日分配,
Allocated Amount,已分配金额,
Allocated Amount (Company Currency),已分配金额（公司本位币）,
Allocated Leaves,已分配假期,
Allocated Via,分配方式,
Allocating Leave,假期分配中,
Allocation,分配,
Allocation Date,分配日期,
Allocation Details,分配明细,
Allocation Expired!,分配已过期！,
Allocation is greater than the maximum allowed {0} for leave type {1},分配天数超过假期类型{1}允许的最大值{0},
Allocation to Adjust,待调整分配,
Allocation was skipped due to exceeding annual allocation set in leave policy,由于超过假期政策中设置的年度分配，分配被跳过,
Allocation was skipped due to maximum leave allocation limit set in leave type. Please increase the limit and retry failed allocation.,由于假期类型中设置的最大假期分配限制，分配被跳过。请增加限制并重试失败的分配。,
Allow Employee Checkin from Mobile App,允许移动端考勤签到,
Allow Encashment,允许兑换,
Allow Geolocation Tracking,启用地理位置追踪,
Allow Leave Application After (Working Days),允许假期申请截止时间（工作日）,
Allow Multiple Shift Assignments for Same Date,允许同日期多班次分配,
Allow Negative Balance,允许负余额,
Allow Over Allocation,允许超额分配,
Allow User,授权用户,
Allow Users,授权用户,
Allow claim for full benefit amount,允许全额福利报销,
Allow the following users to approve Leave Applications for block days.,授权以下用户审批封班日期的请假申请,
Allows allocating more leaves than the number of days in the allocation period.,允许分配的假期数超过分配周期天数,
Alternating entries as IN and OUT during the same shift,同一班次内交替记录签到/签退,
Amended From,修订自,
Amount,金额,
Amount (Company Currency),金额（本币）,
Amount Based on Formula,公式计算金额,
Amount based on formula,基于公式的金额,
Amount claimed via Expense Claim,通过费用报销申请的金额,
Amount of expense,费用金额,
Amount paid against this encashment,本次兑换已支付金额,
Amount scheduled for deduction via salary,计划通过薪资扣除的金额,
Amount should not be less than zero,金额不能小于零,
Amount that has been paid against this advance,本预支已支付金额,
An Arrear document already exists for employee {0} with salary structure {1} in payroll period {2},员工{0}在薪资期间{2}已存在薪资结构{1}的欠薪文档,
An attendance record is linked to this checkin. Please cancel the attendance before modifying time.,存在关联的考勤记录。修改时间前请先取消考勤记录,
Annual Allocation,年度分配,
Annual Allocation Exceeded,超出年度分配额度,
Annual Salary,年薪,
Annual Taxable Amount,年度应税金额,
Any other details,其他详细信息,
"Any other remarks, noteworthy effort that should go in the records",其他需记录的备注或突出贡献,
Applicable For,适用于,
Applicable Salary Components,适用工资组件,
Applicable in the case of Employee Onboarding,适用于员工入职场景,
Applicant Email Address,申请人邮箱,
Applicant Name,申请人姓名,
Applicant Rating,申请人评分,
Applicant for a Job,职位申请人,
Applicant name,申请人姓名,
Application Status,申请状态,
Application period cannot be across two allocation records,申请周期不可跨越两个分配记录,
Application period cannot be outside leave allocation period,申请周期不可超出假期分配期间,
Applications Received,已收申请,
Applications received:,已接收申请：,
Applies to Company,适用公司,
Apply,应用,
Apply / Approve Leaves,申请/审批假期,
Apply Filters,应用筛选,
Apply Now,立即申请,
Apply for Public Holiday,应用于公共假日,
Apply for Weekend,应用于周末,
Appointment Date,任命日期,
Appointment Letter,聘书,
Appointment Letter Template,聘书模板,
Appointment Letter content,聘书内容,
Appraisal,绩效考核,
Appraisal Cycle,考核周期,
Appraisal Goal,考核目标,
Appraisal KRA,关键绩效领域,
Appraisal Linking,考核关联,
Appraisal Overview,考核概览,
Appraisal Template,考核模板,
Appraisal Template Goal,考核模板目标,
Appraisal Template Missing,考核模板缺失,
Appraisal Template Title,考核模板标题,
Appraisal Template not found for some designations.,部分职级未找到考核模板,
Appraisal creation is queued. It may take a few minutes.,考核创建已加入队列，可能需要几分钟时间,
Appraisal {0} already exists for Employee {1} for this Appraisal Cycle or overlapping period,员工{1}在本考核周期或重叠期间已存在考核{0},
Appraisal {0} does not belong to Employee {1},考核{0}不属于员工{1},
Appraisee,被考核人,
Appraisees: {0},被考核人：{0},
Apprentice,实习生,
Approval,审批,
Approval Status,审批状态,
Approval Status must be 'Approved' or 'Rejected',审批状态必须为'已批准'或'已拒绝',
Approve,批准,
Approved,已批准,
Approver,审批人,
Approvers,审批人列表,
Apr,四月,
Archive,归档,
Archived,已存档,
Are you sure you want to delete the attachment,确认删除该附件？,
Are you sure you want to email the selected salary slips?,确认发送所选工资条？,
Are you sure you want to proceed?,您确定要继续吗？,
Are you sure you want to reject the Employee Referral?,确认拒绝该员工推荐？,
Arrear,欠薪,
Arrear Component,欠薪组件,
Arrear Component cannot be set for Salary Components based on taxable salary.,基于应税工资的工资组件不可设置欠薪组件,
Arrear Start Date,欠薪起始日期,
Arrears,欠薪,
Arrival Datetime,到达时间,
As per your assigned Salary Structure you cannot apply for benefits,根据您的薪资结构，无法申请此福利,
Asset Name,资产名称,
Asset Recovery Cost for {0}: {1},{0}的资产回收成本：{1},
Assets Allocated,已分配资产,
Assign Salary Structure to {0} employee(s)?,是否为{0}名员工分配薪资结构？,
Assign Shift,分配班次,
Assign Shift Schedule,分配班次表,
Assign Structure,分配结构,
Assigned To,创建待办,
Assigning Salary Structure,正在分配薪资结构,
Assigning Structure...,分配结构中...,
Assigning Structures...,分配多个结构...,
Assigning...,正在分配...,
Assignment Starts From,分配开始于,
Assignment based on,分配依据,
Assignment start date cannot be outside holiday list dates,分配开始日期不能在节假日列表日期之外,
Associate Job Opening,关联职位空缺,
Associated Document,关联文档,
Associated Document Type,关联文档类型,
At least one interview has to be selected.,至少需选择一个面试,
Attachments,附件,
Attempted,已尝试,
Attendance,考勤,
Attendance Date,考勤日期,
Attendance From Date,考勤起始日期,
Attendance From Date and Attendance To Date is mandatory,必须填写考勤起止日期,
Attendance ID,考勤编号,
Attendance Marked,已记录考勤,
Attendance Request,考勤申请,
Attendance Settings,考勤设置,
Attendance To Date,考勤截止日期,
Attendance Updated,考勤已更新,
Attendance Warnings,考勤预警,
Attendance date {0} can not be less than employee {1}'s joining date: {2},考勤日期{0}不得早于员工{1}的入职日期{2},
Attendance for all the employees under this criteria has been marked already.,符合条件的所有员工考勤已记录,
Attendance for employee {0} is already marked for an overlapping shift {1}: {2},员工{0}的考勤已记录在重叠班次{1}：{2}中,
Attendance for employee {0} is already marked for the date {1}: {2},员工{0}在日期{1}的考勤已记录：{2},
Attendance for employee {0} is already marked for the following dates: {1},员工{0}在以下日期已有考勤记录：{1},
Attendance for the following dates will be skipped/overwritten on submission,提交时将跳过/覆盖以下日期的考勤记录,
Attendance from {0} to {1} has already been marked for the Employee {2},员工{2}在{0}至{1}期间的考勤已记录,
Attendance has been marked for all the employees between the selected payroll dates.,所选薪资期间内的所有员工考勤已记录,
Attendance is pending for these employees between the selected payroll dates. Mark attendance to proceed. Refer {0} for details.,这些员工在所选薪资期间的考勤待处理，请记录考勤后继续。详情参考{0},
Attendance marked successfully,考勤记录成功,
Attendance marked successfully.,考勤标记成功。,
Attendance not submitted for {0} as it is a Holiday.,{0}为节假日，未提交考勤,
Attendance not submitted for {0} as {1} is on leave.,{0}因{1}请假未提交考勤,
AttendanceRequestListView,考勤申请列表视图,
Attendees,参会人员,
Attrition Count,流失人数,
Aug,八月,
Auto Leave Encashment,自动假期折现,
Automated Based on Goal Progress,基于目标进度自动化,
Automatic Leave Allocation has failed for the following Earned Leaves: {0}. Please check {1} for more details.,以下累计假期的自动假期分配失败：{0}。请查看 {1} 了解详情。,
"Automatically fetches all assets allocated to the employee, if any",自动获取员工所有已分配资产（如有）,
Available Leave(s),可用假期,
Available Leaves,可用假期天数,
Average Feedback Score,平均反馈得分,
Average Rating,平均评分,
"Average of Goal Score, Feedback Score, and Self Appraisal Score",目标评分、反馈评分与自评评分的平均值,
Average rating of demonstrated skills,展示技能的平均评分,
Avg Feedback Score,平均反馈分,
Avg Utilization,平均利用率,
Avg Utilization (Billed Only),平均利用率（仅计费）,
Awaiting Response,等待回复,
Backdated Leave Application is restricted. Please set the {} in {},禁止补请假申请，请在{}设置{},
Bank,银行,
Bank / Cash Account,银行/现金科目,
Bank Account,银行户头,
Bank Account No,银行帐号,
Bank Details,银行详细信息,
Bank Entries,银行流水,
Bank Name,银行名称,
Bank Remittance,银行汇款,
Base,基本,
"Base, Variable & Leave Encashment",基本、可变及假期兑现,
Basic,基础,
Begin On (Days),几天后开始,
Beginner,初学者,
Below is the list of upcoming holidays for you:,以下是您即将到来的假期列表：,
Benefit,福利,
Benefit Amount,福利金额,
Benefit Details,福利明细,
Benefit amount of component {0} exceeds {1},组件{0}的福利金额超过{1},
Benefit amount of component {0} should be greater than 0,组件{0}的福利金额应大于0,
Benefit amount {0} for Salary Component {1} should not be greater than maximum benefit amount {2} set in {3},工资组件{1}的福利金额{0}不应大于在{3}中设置的最大福利金额{2},
Benefits,福利项目,
Bill Amount,账单金额,
Billed Hours,计费工时,
Billed Hours (B),计费工时（B）,
Bimonthly,双月,
Birthday Reminder,生日提醒,
Birthday Reminder 🎂,生日提醒 🎂,
Birthdays,生日列表,
Block Date,封存日期,
Block Days,封存天数,
Block Holidays on important days.,在重要日期封存假期,
Blue,蓝色,
Boarding Status,入职状态,
Body,正文,
Bonus,奖金,
Bonus Amount,奖金金额,
Bonus Payment Date,奖金发放日期,
Bonus Payment Date cannot be a past date,奖金发放日期不能为过去日期,
Branch,分支,
Branch: {0},分支机构：{0},
Bulk Assignments,批量分配,
Bulk Leave Policy Assignment,批量分配休假政策,
Bulk Salary Structure Assignment,批量分配薪资结构,
Bulk attendance marking is already in progress for employee {0}. You can monitor the job status {1},员工 {0} 的批量考勤标记已在进行中。您可以在 {1} 监控任务状态,
Bulk attendance marking is queued with a background job. It may take a while. You can monitor the job status {0},批量考勤标记已排入后台任务队列。可能需要一些时间。您可以在 {0} 监控任务状态,
"By default, the Final Score is calculated as the average of Goal Score, Feedback Score, and Self Appraisal Score. Enable this to set a different formula",默认最终得分为目标得分、反馈得分和自评得分的平均值，启用后可自定义计算公式,
CTC,人力总成本,
Calculate Final Score based on Formula,按公式计算最终得分,
Calculate Payroll Working Days Based On,薪资工作日计算依据,
Calculated in days,按天数计算,
Calls,通话记录,
Campaign,营销活动,
Cancel,取消,
Cancellation Queued,取消已排队,
Cancelled,已取消,
Cannot Modify Time,不可修改时间,
Cannot allocate leaves outside the allocation period {0} - {1},不可在分配期间{0}-{1}外分配假期,
Cannot allocate more leaves due to maximum leave allocation limit of {0} in leave policy assignment,由于假期政策分配中的最大假期分配限制为 {0}，无法分配更多假期,
Cannot allocate more leaves due to maximum leaves allowed limit of {0} in {1} leave type.,由于 {1} 假期类型中允许的最大假期限制为 {0}，无法分配更多假期。,
Cannot break shift after end date,不可在结束日期后拆分班次,
Cannot break shift before start date,不可在开始日期前拆分班次,
Cannot cancel Shift Assignment: {0} as it is linked to Attendance: {1},无法取消班次分配{0}，因其关联考勤记录{1},
Cannot cancel Shift Assignment: {0} as it is linked to Employee Checkin: {1},无法取消班次分配{0}，因其关联员工签到{1},
Cannot create Salary Slip for Employee joining after Payroll Period,无法为薪资周期后入职员工创建工资条,
Cannot create Salary Slip for Employee who has left before Payroll Period,无法为薪资周期前离职员工创建工资条,
Cannot create a Job Applicant against a closed Job Opening,无法为已关闭的职位空缺创建申请人,
Cannot create or change transactions against an Appraisal Cycle with status {0}.,无法对状态为{0}的考核周期创建或修改事务,
Cannot find active Leave Period,未找到有效假期周期,
Cannot mark attendance for an Inactive employee {0},无法为停用员工{0}记录考勤,
Cannot submit. Attendance is not marked for some employees.,无法提交，部分员工考勤未记录,
Cannot update allocation for {0} after submission,提交后不可更新{0}的分配,
Cannot update status of Goal groups,无法更新目标组状态,
Carry Forward,结转,
Carry Forwarded Leaves,结转假期,
Cashier,出纳员,
Casual Leave,事假,
Cause of Grievance,申诉事由,
Change,更改,
Changed the status from {0} to {1} and Status for Other Half to {2} via Attendance Request,通过考勤申请将状态从{0}更改为{1}，并将另一半状态更改为{2},
Changed the status from {0} to {1} via Attendance Request,通过考勤申请将状态从{0}更改为{1},
Changing '{0}' to {1}.,正在将‘{0}’更改为{1}。,
"Changing KRA in this parent goal will align all the child goals to the same KRA, if any.",修改父级目标的KRA将同步所有子目标KRA（如存在）,
Check <a href='/app/List/Error Log?reference_doctype={0}'>{1}</a> for more details,查看<a href='/app/List/Error Log?reference_doctype={0}'>{1}</a>获取详情,
Check Error Log {0} for more details.,查看错误日志{0}获取详情,
Check Vacancies On Job Offer Creation,创建录用通知时检查空缺,
Check {0} for more details,查看{0}获取详情,
Check-in Date,签到日期,
Check-out Date,签退日期,
Checkin Radius,签到半径,
Child nodes can only be created under 'Group' type nodes,子节点只能在'组'类型节点下创建,
Choose the date on which you want to create these components as arrears.,选择将这些组件创建为欠薪的日期,
Claim Benefit For,申请福利对象,
Claim an Expense,费用报销,
Claimed,已申报,
Claimed Amount,申报金额,
Claimed amount of employee {0} exceeds maximum amount eligible for claim {1},员工{0}的报销金额超过符合条件的最大报销金额{1},
Claimed amount of employee {0} should be greater than 0,员工{0}的报销金额应大于0,
Claims,报销单,
Clear All,清空全部,
Clearance Date,清账日期,
Cleared,已清算,
Click {0} to change the configuration and then resave salary slip,点击{0}修改配置后重新保存工资条,
Close,关闭,
Closed,已关闭,
Closed On,关闭日期,
Closes On,截止日期,
Closes on:,截止于：,
Closing Balance,期末余额,
Closing Notes,结案说明,
Collapse All,全部折叠,
Color,颜色,
Comments,评论,
Commission,佣金,
Company,公司,
Company Details,公司信息,
Compensatory Leave Request,补休申请,
Compensatory Off,调休,
Completed,已完成,
Completed On,完成日期,
Completing onboarding,完成入职流程,
Component,薪资构成,
Component properties and references ,组件属性及引用,
Condition,条件,
Condition & Formula,条件与公式,
Condition and Formula Help,条件与公式说明,
Condition and formula,条件与公式,
Conditions and Formula variable and example,条件公式变量及示例,
Conference,会议,
Connections,关联,
Consider Grace Period,考虑宽限期,
Consider Marked Attendance on Holidays,节假日考勤纳入考量,
Consider Unmarked Attendance As,未记录考勤视为,
Consolidate Leave Types,合并休假类型,
Contact Email,联系人邮箱,
Contact No.,联系人电话,
Contact Number,联系电话,
Continue,继续,
Contract,合同,
Copy of Invitation/Announcement,邀请函/公告副本,
Cost,成本,
Cost Center,成本中心,
Cost Centers,成本中心,
Costing,成本核算,
Costing Details,成本核算信息,
Could not submit some Salary Slips: {},无法提交部分工资条：{},
Could not update Goal,无法更新目标,
Could not update goals,无法更新多个目标,
Country,国家,
Country Fixture Deletion Failed,国家基础数据删除失败,
Country Setup failed,国家配置失败,
Course,课程,
Cover Letter,求职信,
Create,创建,
Create Additional Salary,创建附加薪资,
Create Appraisals,创建绩效考核,
Create Employee,创建员工,
Create Interview,创建面试安排,
Create Job Applicant,创建职位申请人,
Create Job Opening,创建职位空缺,
Create Journal Entry,创建日记账分录,
Create New Employee Id,创建新员工编号,
Create Overtime Slip For Eligible Employee(s),为符合条件的员工创建加班单,
Create Overtime Slips,创建加班单,
Create Salary Slip,创建工资条,
Create Salary Slips,批量创建工资条,
Create Shifts After,创建班次时间范围,
Creating Appraisals,正在创建绩效考核,
Creating Payment Entries......,正在创建付款分录......,
Creating Salary Slips...,正在创建工资条...,
Creating {0}...,正在创建{0}...,
Creation Date,创建日期,
Creation Failed,创建失败,
Creation of Salary Structure Assignments has been queued. It may take a few minutes.,薪资结构分配创建已加入队列，可能需要几分钟时间,
Creation of {0} has been queued. It may take a few minutes.,{0}创建已加入队列，可能需要几分钟时间,
Criteria,标准,
Criteria based on which employee should be rated in Performance Feedback and Self Appraisal,绩效反馈与自评的评分依据标准,
Currency,币种,
Currency ,币种,
Currency of selected Income Tax Slab should be {0} instead of {1},所选所得税税级的币种应为{0}而非{1},
Current,当前,
Current CTC,当前人力总成本,
Current Count,当前数量,
Current Employer ,当前雇主,
Current Job Title,当前职位,
Current Month Income Tax,本月所得税,
Current Odometer Value should be greater than Last Odometer Value {0},当前里程表读数应大于上次读数{0},
Current Odometer value ,当前里程表读数,
Current Openings,当前空缺职位,
Current Payroll Period,当前薪资期间,
"Currently, there is no {0} leave period for this date to create/update leave allocation.",当前没有适用于该日期的{0}假期周期用于创建/更新假期分配,
Custom Range,自定义范围,
Customer,客户,
Cyan,青色,
Cycle Name,周期名称,
Cycles,周期,
Daily,每日,
Daily Work Summary,每日工作摘要,
Daily Work Summary Group,每日工作摘要组,
Daily Work Summary Group User,每日工作摘要组成员,
Daily Work Summary Replies,每日工作摘要回复,
Dashboard,数据面板,
Date,日期,
Date ,日期 ,
Date Range,日期范围,
Date Range Exceeded,日期范围超出,
Date is repeated,日期重复,
Date of Birth,出生日期,
Date of Joining,入职日期,
Date {0} is repeated in Overtime Details,日期{0}在加班明细中重复,
Dates & Reason,日期及原因,
Dates Based On,日期依据,
Days for which Holidays are blocked for this department.,本部门封存的假期天数,
Days to Reverse,待冲销天数,
Days to Reverse must be greater than zero.,待冲销天数必须大于零,
Debit A/C Number,借方账号,
Dec,十二月,
Decision Pending,待决策,
Deduct Full Tax on Selected Payroll Date,在选定薪资日期全额扣税,
Deduct Tax For Unsubmitted Tax Exemption Proof,为未提交免税证明的情况扣税,
Deduction,扣除项,
Deduction Arrears,扣款欠薪,
Deduction from Salary,薪资扣除,
Deductions,扣除项,
Deductions before tax calculation,税前扣除项,
Default Account,默认科目,
Default Amount,默认金额,
Default Bank / Cash account will be automatically updated in Salary Journal Entry when this mode is selected.,选择此模式时，银行/现金默认账户将自动更新至薪资日记账,
Default Base Pay,默认基本工资,
Default Employee Advance Account,默认员工预支账户,
Default Expense Claim Payable Account,默认费用报销应付账户,
Default Payroll Payable Account,默认应付薪资账户,
Default Salary Structure,默认薪资结构,
Default Shift,默认班次,
Deferred Expense Account,递延费用科目,
Delete,删除,
Delete Attachment,删除附件,
Delete Demo Data,删除演示数据,
Delivery Trip,配送单,
Department,部门,
Department Approver,部门审批人,
Department {0} does not belong to company: {1},部门{0}不属于公司{1},
Department: {0},部门：{0},
Departure Datetime,离开时间,
Depends On Payment Days,依赖计薪天数,
Depends on Payment Days,依赖计薪天数,
Description,描述,
Description of a Job Opening,职位空缺描述,
Designation,职位,
Designation Skill,职级技能,
Designation: {0},职级：{0},
Details,详情,
"Details of Sponsor (Name, Location)",担保人详细信息（姓名，所在地）,
Disable Rounded Total,禁用小数精度尾差,
"Disable {0} for the {1} component, to prevent the amount from being deducted twice, as its formula already uses a payment-days-based component.",请为{1}组件禁用{0}，因其公式已包含基于计薪天数的组件，避免重复扣除,
Disable {0} or {1} to proceed.,禁用{0}或{1}以继续,
Disabled,已禁用,
Do Not Include in Accounting Entries,不包含在会计分录入账中,
Do Not Include in Total,不计入合计,
Do not include in total,不计入合计,
Do you still want to proceed?,您仍然要继续吗？,
Do you want to update the Job Applicant {0} as {1} based on this interview result?,是否根据本次面试结果将职位申请人{0}状态更新为{1}？,
Document Status,单据状态,
Domestic,国内,
Download PDF,下载PDF,
Download Template,下载模板,
Draft,草稿,
Duplicate Assignment,重复分配,
Duplicate Attendance,重复考勤记录,
Duplicate Claim Detected,检测到重复报销,
Duplicate Entry,重复录入,
Duplicate Job Requisition,重复职位申请,
Duplicate Leave Adjustment,重复假期调整,
Duplicate Overwritten Salary,重复覆盖薪资,
Duplicate Salary Withholding,重复薪资代扣,
Duration (Days),工期(天）,
ERROR({0}): {1},错误({0})：{1},
Early Exit,早退,
Early Exit By,早退处理人,
Early Exits,早退记录,
Earned Leave,带薪休假,
Earned Leave Frequency,带薪休假分配频率,
Earned Leave Schedule,累计假期计划,
Earned Leaves,累计休假,
Earned Leaves are allocated as per the configured frequency via scheduler.,带薪休假按配置频率通过调度程序自动分配,
Earned Leaves are auto-allocated via scheduler based on the annual allocation set in the Leave Policy: {0},根据休假政策{0}设定的年度分配，带薪休假通过调度程序自动分配,
